Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2015;3.169,75;3.177,04;3.114,76;3.139,44;419.481.785
  05.01.2015;3.126,81;3.150,09;3.020,79;3.023,14;774.238.266
  06.01.2015;3.033,44;3.061,19;2.998,53;3.007,91;685.409.531
  07.01.2015;3.019,47;3.055,87;3.002,78;3.026,79;673.194.179
  08.01.2015;3.051,26;3.139,92;3.051,26;3.135,08;764.127.178
  09.01.2015;3.128,42;3.128,42;3.021,23;3.042,90;1.233.450.782
  12.01.2015;3.055,66;3.096,91;3.033,34;3.084,18;728.580.859
  13.01.2015;3.069,82;3.146,54;3.065,37;3.133,86;707.019.590
  14.01.2015;3.108,34;3.148,26;3.077,24;3.089,67;865.334.794
  15.01.2015;3.112,37;3.169,19;3.020,54;3.157,36;989.894.903
  16.01.2015;3.147,53;3.208,30;3.133,90;3.202,24;829.623.002
  19.01.2015;3.208,62;3.238,06;3.198,36;3.220,90;579.883.832
  20.01.2015;3.229,34;3.257,65;3.226,74;3.244,92;789.477.685
  21.01.2015;3.253,45;3.269,73;3.210,95;3.269,73;800.326.416
  22.01.2015;3.270,40;3.332,51;3.261,85;3.322,65;1.119.894.668
  23.01.2015;3.345,45;3.412,76;3.345,45;3.382,55;1.044.609.402
  26.01.2015;3.372,03;3.417,46;3.362,63;3.414,28;616.394.404
  27.01.2015;3.413,33;3.413,33;3.353,13;3.372,58;666.227.111
  28.01.2015;3.384,21;3.393,93;3.333,36;3.358,96;700.151.895
  29.01.2015;3.341,18;3.373,18;3.326,38;3.371,83;674.283.572
  30.01.2015;3.386,59;3.392,70;3.332,39;3.351,44;749.200.080
  02.02.2015;3.356,13;3.370,81;3.327,08;3.370,11;693.700.127
  03.02.2015;3.386,55;3.426,67;3.386,55;3.414,18;834.584.411
  04.02.2015;3.416,80;3.422,04;3.389,20;3.415,53;664.746.821
  05.02.2015;3.393,62;3.410,52;3.376,75;3.408,96;593.610.528
  06.02.2015;3.404,94;3.408,88;3.383,75;3.398,16;477.118.212
  09.02.2015;3.371,51;3.371,51;3.321,59;3.347,75;647.761.400
  10.02.2015;3.353,84;3.401,13;3.335,82;3.383,13;644.181.124
  11.02.2015;3.384,28;3.389,92;3.361,47;3.374,14;583.008.718
  12.02.2015;3.371,57;3.433,51;3.365,25;3.417,61;790.177.851
  13.02.2015;3.428,90;3.462,27;3.428,90;3.447,59;724.521.204
  16.02.2015;3.445,44;3.446,52;3.431,29;3.433,30;385.057.937
  17.02.2015;3.420,93;3.443,83;3.381,29;3.438,44;547.717.392
  18.02.2015;3.450,12;3.473,58;3.450,12;3.465,80;592.321.346
  19.02.2015;3.459,49;3.493,67;3.439,18;3.488,08;683.071.583
  20.02.2015;3.483,58;3.495,30;3.454,81;3.490,53;1.057.356.016
  23.02.2015;3.510,81;3.529,01;3.498,27;3.519,58;510.845.482
  24.02.2015;3.523,99;3.555,31;3.510,45;3.547,10;572.285.536
  25.02.2015;3.544,81;3.549,03;3.529,12;3.541,78;506.048.458
  26.02.2015;3.542,21;3.576,34;3.537,19;3.574,94;585.644.725
  27.02.2015;3.574,33;3.599,00;3.563,15;3.599,00;701.197.116
  02.03.2015;3.594,25;3.607,97;3.577,51;3.591,09;568.033.018
  03.03.2015;3.595,36;3.604,75;3.546,29;3.549,11;538.775.443
  04.03.2015;3.555,91;3.583,44;3.533,40;3.583,44;530.076.616
  05.03.2015;3.590,10;3.626,06;3.589,20;3.618,21;547.213.414
  06.03.2015;3.615,00;3.635,93;3.611,10;3.617,62;505.013.269
  09.03.2015;3.604,13;3.614,58;3.585,12;3.610,28;514.452.082
  10.03.2015;3.605,81;3.610,83;3.552,43;3.567,25;582.483.969
  11.03.2015;3.574,98;3.653,94;3.574,98;3.649,54;602.951.732
  12.03.2015;3.646,35;3.653,38;3.635,77;3.641,32;594.711.812
  13.03.2015;3.649,46;3.656,21;3.628,14;3.656,21;499.597.905
  16.03.2015;3.664,53;3.715,36;3.664,53;3.706,75;654.444.616
  17.03.2015;3.708,04;3.714,02;3.654,53;3.672,16;563.312.329
  18.03.2015;3.673,97;3.680,57;3.643,13;3.668,52;672.939.327
  19.03.2015;3.666,35;3.690,63;3.646,29;3.670,73;671.481.224
  20.03.2015;3.676,14;3.738,20;3.672,60;3.726,07;1.113.195.028
  23.03.2015;3.718,45;3.718,45;3.688,73;3.699,04;528.600.118
  24.03.2015;3.690,92;3.742,42;3.677,31;3.731,35;608.348.515
  25.03.2015;3.724,75;3.730,80;3.680,15;3.684,04;493.319.394
  26.03.2015;3.664,15;3.669,79;3.616,75;3.669,79;658.088.177
  27.03.2015;3.677,71;3.694,46;3.657,78;3.679,03;520.588.063
  30.03.2015;3.689,39;3.730,90;3.689,39;3.727,80;515.915.094
  31.03.2015;3.724,36;3.738,41;3.688,55;3.697,38;605.157.898
  01.04.2015;3.688,18;3.748,63;3.675,29;3.714,89;601.373.920
  02.04.2015;3.713,74;3.723,34;3.705,65;3.715,27;399.118.072
  07.04.2015;3.729,27;3.778,74;3.729,27;3.768,72;575.709.033
  08.04.2015;3.764,60;3.774,09;3.736,32;3.742,63;464.223.296
  09.04.2015;3.752,66;3.781,79;3.751,19;3.781,79;413.235.365
  10.04.2015;3.790,26;3.816,76;3.789,64;3.816,76;526.016.896
  13.04.2015;3.813,96;3.836,28;3.807,73;3.828,78;394.799.765
  14.04.2015;3.820,13;3.822,92;3.766,81;3.784,53;677.361.737
