Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  02.01.2015;208,20;208,20;208,20;208,20;0
  05.01.2015;207,32;207,32;207,32;207,32;0
  06.01.2015;202,94;202,94;202,94;202,94;0
  07.01.2015;203,30;203,30;203,30;203,30;0
  08.01.2015;205,67;205,67;205,67;205,67;0
  09.01.2015;206,68;206,68;206,68;206,68;0
  12.01.2015;206,43;206,43;206,43;206,43;0
  13.01.2015;206,42;206,42;206,42;206,42;0
  14.01.2015;204,73;204,73;204,73;204,73;0
  15.01.2015;206,29;206,29;206,29;206,29;0
  16.01.2015;204,76;204,76;204,76;204,76;0
  20.01.2015;207,18;207,18;207,18;207,18;0
  21.01.2015;208,36;208,36;208,36;208,36;0
  22.01.2015;208,73;208,73;208,73;208,73;0
  23.01.2015;211,25;211,25;211,25;211,25;0
  26.01.2015;211,12;211,12;211,12;211,12;0
  27.01.2015;212,86;212,86;212,86;212,86;0
  28.01.2015;213,06;213,06;213,06;213,06;0
  29.01.2015;211,39;211,39;211,39;211,39;0
  30.01.2015;210,97;210,97;210,97;210,97;0
  02.02.2015;210,93;210,93;210,93;210,93;0
  03.02.2015;210,66;210,66;210,66;210,66;0
  04.02.2015;213,02;213,02;213,02;213,02;0
  05.02.2015;212,61;212,61;212,61;212,61;0
  06.02.2015;213,05;213,05;213,05;213,05;0
  09.02.2015;212,89;212,89;212,89;212,89;0
  10.02.2015;212,87;212,87;212,87;212,87;0
  11.02.2015;212,85;212,85;212,85;212,85;0
  12.02.2015;214,26;214,26;214,26;214,26;0
  13.02.2015;215,76;215,76;215,76;215,76;0
  17.02.2015;216,55;216,55;216,55;216,55;0
  18.02.2015;218,41;218,41;218,41;218,41;0
  19.02.2015;219,04;219,04;219,04;219,04;0
  20.02.2015;219,19;219,19;219,19;219,19;0
  23.02.2015;219,45;219,45;219,45;219,45;0
  24.02.2015;220,30;220,30;220,30;220,30;0
  25.02.2015;220,75;220,75;220,75;220,75;0
  26.02.2015;221,42;221,42;221,42;221,42;0
  27.02.2015;221,49;221,49;221,49;221,49;0
  02.03.2015;222,07;222,07;222,07;222,07;0
  03.03.2015;221,96;221,96;221,96;221,96;0
  04.03.2015;220,80;220,80;220,80;220,80;0
  05.03.2015;220,81;220,81;220,81;220,81;0
  06.03.2015;222,27;222,27;222,27;222,27;0
  09.03.2015;220,49;220,49;220,49;220,49;0
  10.03.2015;219,32;219,32;219,32;219,32;0
  11.03.2015;218,98;218,98;218,98;218,98;0
  12.03.2015;220,82;220,82;220,82;220,82;0
  13.03.2015;221,43;221,43;221,43;221,43;0
  16.03.2015;221,27;221,27;221,27;221,27;0
  17.03.2015;222,93;222,93;222,93;222,93;0
  18.03.2015;224,23;224,23;224,23;224,23;0
  19.03.2015;225,26;225,26;225,26;225,26;0
  20.03.2015;225,49;225,49;225,49;225,49;0
  23.03.2015;226,25;226,25;226,25;226,25;0
  24.03.2015;225,86;225,86;225,86;225,86;0
  25.03.2015;226,20;226,20;226,20;226,20;0
  26.03.2015;223,63;223,63;223,63;223,63;0
  27.03.2015;223,44;223,44;223,44;223,44;0
  30.03.2015;224,43;224,43;224,43;224,43;0
  31.03.2015;224,12;224,12;224,12;224,12;0
  01.04.2015;223,33;223,33;223,33;223,33;0
  02.04.2015;225,63;225,63;225,63;225,63;0
  06.04.2015;226,28;226,28;226,28;226,28;0
  07.04.2015;227,79;227,79;227,79;227,79;0
  08.04.2015;230,58;230,58;230,58;230,58;0
  09.04.2015;232,03;232,03;232,03;232,03;0
  10.04.2015;232,93;232,93;232,93;232,93;0
  13.04.2015;234,31;234,31;234,31;234,31;0
  14.04.2015;233,57;233,57;233,57;233,57;0
  15.04.2015;233,10;233,10;233,10;233,10;0
  16.04.2015;234,82;234,82;234,82;234,82;0
  17.04.2015;233,44;233,44;233,44;233,44;0
  20.04.2015;231,50;231,50;231,50;231,50;0
  21.04.2015;234,41;234,41;234,41;234,41;0
  22.04.2015;235,54;235,54;235,54;235,54;0
  23.04.2015;236,29;236,29;236,29;236,29;0
  24.04.2015;236,59;236,59;236,59;236,59;0
  27.04.2015;237,12;237,12;237,12;237,12;0
  28.04.2015;237,18;237,18;237,18;237,18;0
  29.04.2015;235,81;235,81;235,81;235,81;0
  30.04.2015;232,69;232,69;232,69;232,69;0
  01.05.2015;232,46;232,46;232,46;232,46;0
  04.05.2015;233,09;233,09;233,09;233,09;0
  05.05.2015;232,36;232,36;232,36;232,36;0
  06.05.2015;230,73;230,73;230,73;230,73;0
  07.05.2015;228,57;228,57;228,57;228,57;0
  08.05.2015;230,03;230,03;230,03;230,03;0
  11.05.2015;231,11;231,11;231,11;231,11;0
  12.05.2015;230,78;230,78;230,78;230,78;0
  13.05.2015;231,37;231,37;231,37;231,37;0
  14.05.2015;230,36;230,36;230,36;230,36;0
