date,opening,Enough,Day high,Day low,volume
1/11/2021,"13,800",-,"13,800","13,800",-
12/30/2020,"12,000","12,000","12,000","12,000",-
29-Dec-20,"12,100","12,000","12,100","12,000",-
28-Dec-20,"12,000","12,000","12,000","12,000",-
23-Dec-20,"11,900","11,900","11,900","11,900",-
12/22/2020,"12,100","12,100","12,100","12,100",-
21-Dec-20,"12,200","12,100","12,200","12,100",-
18-Dec-20,"12,300","12,300","12,300","12,300",-
17-Dec-20,"12,200","12,200","12,300","12,200",-
16-Dec-20,"12,500","12,400","12,500","12,400",-
15-Dec-20,"12,400","12,500","12,500","12,400",-
14-Dec-20,"12,700","12,700","12,800","12,700",-
12/11/2020,"12,800","12,800","12,800","12,700",-
10-Dec-20,"12,700","13,300","13,300","12,700",21st
"December 9th, 2020","13,200","13,200","13,200","13,200",-
"December 8th, 2020","12,900","12,900","12,900","12,900",-
7-Dec-20,"12,900","12,900","12,900","12,900",-
"December 4th, 2020","12,800","12,900","12,900","12,800",-
"December 3rd, 2020","13,000","13,100","13,100","13,000",-
02.12.2020,"13,300","13,300","13,300","13,200",-
1-Dec-20,"13,300","13,200","13,300","13,200",-
11/30/2020,"13,000","12,900","13,000","12,900",-
11/27/2020,"13,300","13,300","13,900","13,300",16
11/26/2020,"13,200","13,200","13,200","13,200",-
11/25/2020,"13,500","13,400","13,500","13,400",-
11/24/2020,"13,200","13,100","13,200","13,100",-
11/23/2020,"13,100","13,100","13,100","13,100",-
11/20/2020,"13,100","13,100","13,100","13,100",-
11/19/2020,"13,300","13,300","13,300","13,300",-
11/18/2020,"13,400","13,600","13,600","13,400",-
11/17/2020,"13,900","13,800","13,900","13,800",-
11/16/2020,"13,500","13,500","13,500","13,500",-
11/13/2020,"13,100","13,200","13,200","13,100",-
11/12/2020,"13,600","13,500","13,800","13,500",-
11/11/2020,"14,100","14,000","14,100","14,000",-
11/10/2020,"13,800","13,800","13,800","13,800",35
9/11/2020,"12,800","12,600","12,800","12,600",-
11/6/2020,"12,700","12,400","12,700","12,400",-
5/11/2020,"12,300","12,000","12,300","12,000",-
4/11/2020,"12,900","13,100","13,100","12,800",-
3/11/2020,"12,700","12,800","12,800","12,700",-
11/2/2020,"12,800","12,700","12,800","12,600",-
10/30/2020,"12,300","12,200","12,300","12,100",-
29-Oct-20,"12,600","12,600","12,600","12,600",-
28.10.2020,"12,700","12,700","12,800","12,700",-
27-Oct-20,"12,900","13,000","13,000","12,900",-
10/26/2020,"13,100","13,100","13,100","13,100",-
23/10/2020,"13,300","13,300","13,300","13,200",-
10/22/2020,"12,700","12,900","12,900","12,700",-
21-Oct-20,"12,800","12,800","12,800","12,800",-
20-Oct-20,"12,400","12,300","12,400","12,300",-
19-Oct-20,"12,700","12,600","12,700","12,600",-
16.10.2020,"12,600","12,600","12,600","12,600",-
15-Oct-20,"12,600","12,700","12,700","12,600",-
10/14/2020,"12,600","12,600","12,600","12,600",-
13/10/2020,"12,800","12,800","12,800","12,700",-
10/12/2020,"12,700","12,700","12,700","12,700",-
9/10/2020,"12,700","12,600","12,700","12,600",-
8/10/2020,"12,500","12,500","12,500","12,500",-
07.10.2020,"12,500","12,500","12,500","12,500",-
06.10.2020,"12,400","12,400","12,400","12,400",-
5/10/2020,"12,100","12,100","12,100","12,100",-
02.10.2020,"11,800","11,700","11,800","11,700",-
1/10/2020,"12,000","12,000","12,000","12,000",-
9/30/2020,"11,800","11,800","11,800","11,800",-
29.09.2020,"12,200","12,000","12,200","12,000",-
9/28/2020,"12,200","12,200","12,200","12,100",-
9/25/2020,"12,000","12,000","12,000","12,000",-
9/24/2020,"12,000","12,000","12,000","12,000",-
23.09.2020,"12,100","12,100","12,100","12,100",-
9/22/2020,"12,400","12,400","12,400","12,400",-
9/21/2020,"12,300","12,400","12,400","12,300",-
18-Sep-20,"12,300","12,300","12,400","12,300",-
17.09.2020,"12,300","12,400","12,400","12,300",-
16.09.2020,"12,400","12,400","12,400","12,300",-
15-Sep-20,"12,400","12,500","12,500","12,400",-
14.09.2020,"12,400","12,500","12,500","12,400",-
9/11/2020,"12,300","12,300","12,300","12,300",-
9/10/2020,"12,200","12,100","12,200","12,100",-
09.09.2020,"12,100","12,000","12,100","12,000",-
08.09.2020,"12,200","12,300","12,300","12,200",-
07.09.2020,"12,300","12,300","12,300","12,300",-
04.09.2020,"12,200","12,100","12,300","12,100",-
03.09.2020,"12,300","12,300","12,300","12,300",-
02.09.2020,"12,200","12,300","12,300","12,200",-
9/1/2020,"12,300","12,300","12,400","12,300",-
8/31/2020,"12,500","12,500","12,500","12,400",-
8/28/2020,"12,300","12,400","12,400","12,300",-
8/27/2020,"12,000","12,000","12,000","12,000",-
8/26/2020,"12,200","12,200","12,200","12,200",-
8/25/2020,"12,000","12,000","12,000","12,000",-
8/24/2020,"12,000","12,000","12,000","12,000",-
8/21/2020,"11,700","11,700","11,800","11,700",-
8/20/2020,"11,600","11,700","11,700","11,600",-
8/19/2020,"11,600","11,600","11,600","11,600",-
8/18/2020,"11,800","11,800","11,800","11,700",-
8/17/2020,"11,800","11,900","11,900","11,800",-
8/14/2020,"11,700","11,700","11,800","11,700",-
8/13/2020,"11,600","11,600","11,600","11,600",-
8/12/2020,"11,300","11,700","11,700","11,300",-
8/11/2020,"11,100","11,000","11,100","11,000",-
