X,Y
10.4923,10.4923
10.9198,10.9198
11.1075,11.098
11.043,11.043
10.5977,10.5977
10.629,10.629
10.6115,10.584
10.6842,10.6842
10.5155,10.5155
10.579,10.579
10.402,10.402
10.3798,10.3798
10.036,10.036
9.7655,10.0083
10.288,10.4175
10.4625,10.4625
10.4207,10.4207
10.4487,10.4487
10.5232,10.5232
10.5442,10.7058
10.7058,10.7058
10.9967,10.9967
11.0365,11.0365
10.5192,10.3713
11.2253,11.028
11.6125,11.6125
11.6785,11.6785
10.9452,11.2345
11.158,11.158
10.9735,11.253
11.3625,11.3725
11.0905,11.0905
11.1597,11.1597
11.14,11.14
11.0168,10.9353
10.9455,10.9455
11.0153,10.917
11.2425,11.2425
11.0295,10.991
11.0165,11.0165
10.8462,10.9078
11.0042,11.0042
10.9762,10.9762
11.1132,10.9683
11.106,11.0232
10.8108,10.7948
11.0045,11.0045
11.2335,11.2335
11.2972,11.2972
11.1622,11.3588
11.26,11.3785
11.3907,11.3907
11.308,11.3418
11.3422,11.3422
11.29,11.29
11.2715,11.2715
11.3167,11.3167
11.3708,11.3708
11.4817,11.4817
11.6257,11.5487
11.6445,11.6445
11.4093,11.4093
11.0465,11.0465
11.134,11.154
11.01,11.01
11.2183,11.2712
11.2015,11.2015
11.4447,11.4447
11.9235,11.9235
11.8687,12.0258
12.0478,12.0478
12.349,12.3573
11.9318,11.9318
12.041,12.041
12.0635,12.0635
12,12
11.8647,11.8647
11.6667,11.6667
11.6847,11.6847
11.8027,11.8027
11.721,11.832
11.5835,11.5702
11.7,11.437
11.6208,11.5765
11.618,11.4917
11.548,11.548
11.552,11.581
11.7037,11.7498
11.8885,11.8885
11.8485,11.959
11.8352,11.8352
11.8605,11.8483
12.044,12.1112
11.9125,11.9125
11.9032,11.889
11.8057,11.639
11.6842,11.657
11.608,11.64
11.4972,11.711
11.3477,11.3477
11.4235,11.5007
11.3112,11.3445
11.3968,11.3968
11.4703,11.4808
11.6575,11.6575
11.762,11.649
12.086,11.8848
11.9745,11.9745
11.9412,12.0527
12.2325,12.2325
12.1635,12.2315
12.0667,12.0092
12.0105,12.0105
11.8877,11.9525
11.8617,11.8617
11.6585,11.79
11.793,11.793
11.7928,11.7928
11.933,12.0575
12.697,12.697
12.7825,12.911
12.8185,12.8185
13.5717,13.5717
13.961,13.961
13.435,13.435
13.3835,13.4475
13.585,13.554
13.7758,13.7758
14.0015,14.1523
14.1178,14.1178
13.881,13.881
13.577,13.842
13.6143,13.786
12.948,12.948
12.919,13.0463
12.9672,12.9672
12.6313,12.6313
12.6862,12.6862
12.733,12.733
12.6908,12.6908
12.5435,12.6372
12.4497,12.4497
12.4218,12.4218
12.7832,12.8302
12.6862,12.6862
12.557,12.6305
12.8715,12.8715
13.4762,13.3612
13.5843,13.5843
15.2517,15.2987
15.292,15.3385
15.1267,15.1267
15.2987,15.2987
16.068501,16.068501
16.0142,16.0142
15.943,15.943
16.9608,16.917999
16.5907,16.553499
16.614,16.5438
16.5875,17.383801
16.3102,16.2785
15.7978,16.6458
16.459,16.4942
17.1702,17.2265
17.1192,17.0588
17.083,16.9522
16.573,16.6173
15.8083,15.8083
16.0382,16.0222
15.719,15.719
15.713,15.713
15.2655,15.2215
15.1698,15.1698
14.9948,14.9948
14.9653,14.9653
14.8925,14.8225
14.374,14.3532
14.2935,14.3757
14.487,14.487
14.2065,14.2065
14.2075,14.2075
14.2045,14.2735
14.3013,14.3068
14.5183,14.5183
14.5975,14.8115
14.8363,14.8363
14.5487,14.5185
14.7058,14.7058
14.429,14.429
14.45,14.4595
14.3785,14.3735
14.4205,14.4205
14.1938,14.1912
14.194,14.194
13.9795,13.97
13.681,13.7203
13.7218,13.7218
13.825,13.976
13.6655,13.5782
13.7555,13.7212
13.5658,13.5658
13.5192,13.5192
13.4482,13.4482
13.6915,13.6915
13.8097,13.8145
13.8378,13.8532
13.9958,13.9537
14.1523,14.1523
14.0162,13.967
14.0903,14
14.0297,14.0297
13.944,13.9307
14.0365,14.0365
13.875,13.875
13.9327,13.9327
14.2122,14.2122
14.131,14.131
14.131,14.131
13.451,13.451
14.1292,13.98
13.8097,13.8527
14.383,14.3223
14.181,14.181
14.062,14.1333
14.109,14.1053
13.985,14.019
14.6082,14.608
14.6082,14.5618
14.6128,14.4698
14.8915,14.8915
14.7832,14.7832
15,15
14.9388,14.9388
14.5448,14.5448
14.4183,14.3617
14.3278,14.3962
14.628,14.628
14.2155,14.2155
14.0642,14.0642
14.4312,14.5647
14.3752,14.3752
14.6515,14.6515
14.7668,14.766
14.8243,14.8243
14.8565,15.002
15.0503,15.0503
15.1685,15.2253
15.4003,15.3853
15.5317,15.5317
15.5195,15.4978
15.504,15.5205
15.646,15.6485
15.5595,15.6665
15.5048,15.5048
15.4825,15.4825
15.4128,15.4128
15.4105,15.4792
15.696,15.6318
15.79,15.79
15.7758,15.7758
15.6112,15.736
15.4487,15.4487
15.5288,15.5238
14.6528,14.6528
14.7577,14.7577
14.9855,14.9855
14.7347,14.7347
14.5855,14.5708
14.4698,14.4277
14.4958,14.4635
14.3088,14.3088
14.3162,14.3162
14.3335,14.324
14.407,14.3612
14.3465,14.3465
14.3053,14.3053
14.3275,14.3275
14.4467,14.4467
14.3322,14.2957
14.3802,14.3802
14.577,14.577
14.5677,14.5507
14.8015,14.8015
14.8217,14.7253
14.954,14.954
15.1698,15.1698
15.033,15.033
14.797,14.797
14.5215,14.5215
14.2393,14.3623
14.3438,14.3438
14.296,14.296
14.1978,14.2015
14.0865,14.117
13.9677,14.0667
14.0647,14.0647
14.0282,14.0323
13.9803,13.9803
14.0938,14.0843
13.9762,13.8938
13.789,13.789
13.8038,13.8038
13.7043,13.6292
13.6245,13.6245
13.5573,13.5573
13.5262,13.5262
13.2905,13.2905
13.454,13.454
13.554,13.5618
13.4853,13.538
13.589,13.589
13.6757,13.6757
13.7133,13.7133
13.8625,13.8625
14.066,14.047
13.7972,13.7972
13.8185,13.853
13.8593,13.9143
13.5398,13.5398
13.5328,13.5328
13.842,13.842
13.8372,13.831
13.9805,13.993
13.6617,13.7157
13.5545,13.5545
13.856,13.8787
13.8977,13.8977
13.0795,13.0795
13.341,13.341
13.328,13.2975
13.195,13.1772
13.1528,13.1528
13.2013,13.2013
13.19,13.19
13.1482,13.1292
12.6978,12.7537
12.8275,12.831
12.6882,12.6882
12.7528,12.7528
12.7428,12.7428
12.7428,12.7428
12.6868,12.7425
12.7592,12.7592
12.858,12.9012
12.74,12.74
12.74,12.5615
12.786,12.743
12.7037,12.7037
12.6185,12.6185
12.4823,12.4823
12.5363,12.5653
12.2238,12.2238
12.337,12.337
12.3427,12.4062
12.6348,12.6255
12.5218,12.533
12.6185,12.6185
12.8027,12.8027
12.6745,12.6745
12.2472,12.2472
12.0735,12.0735
12.0375,12.7405
12.7405,12.7405
12.0675,12.0675
11.9032,13
11.934,11.9285
11.9268,11.9253
12.011,12.066
12.0155,12.0197
12.426,12.448
13.0785,13.0527
13.1495,13.1243
13.0545,13.0545
13.151,13.151
13.081,13.081
12.9458,12.9458
12.791,12.791
12.7343,12.7343
12.6345,12.4255
12.354,12.3632
12.306,12.306
12.2415,12.2415
12.3845,12.3845
12.4338,12.4338
12.3855,12.3855
12.1565,12.1565
11.7022,11.7022
11.7525,11.7525
11.8868,11.8868
11.6692,11.6692
11.7355,11.7355
11.7917,11.7885
11.8375,11.8375
11.6545,11.6545
11.649,11.649
11.6807,11.6807
11.491,11.491
11.6307,11.6307
